Address1,Addess2,Address3,Post_Code,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
107 WIDE LANE,MORLEY,LEEDS,LS27 8DB,MS,1BH,29-SEP-2014,172
108 GIPTON GATE EAST,GIPTON,LEEDS,LS9 6SU,GH,1BMSF,08-DEC-2014,46
108 HALTON MOOR AVENUE,OSMONDTHORPE,LEEDS,LS9 0EY,TN,2BF,28-JUL-2014,40
108 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4LW,MI,2BF,01-SEP-2014,12
108 TOWN STREET,MIDDLETON,LEEDS,LS10 3QP,MI,1/2BF,27-OCT-2014,34
109 FOUNDRY APPROACH,HAREHILLS,LEEDS,LS9 6BT,GH,3BH,27-JAN-2014,23
109 INGLE AVENUE,MORLEY,LEEDS,LS27 9RA,MN,2BF,07-APR-2014,65
109 KENDAL DRIVE,HALTON MOOR,LEEDS,LS15 0BA,TN,4BH,13-OCT-2014,20
109 MIDDLETON ROAD,MORLEY,LEEDS,LS27 8DQ,MS,2BH,21-APR-2014,159
109 SPRINGFIELD MOUNT,HORSFORTH,LEEDS,LS18 5QD,HO,C1S1BF,13-JAN-2014,18
109 WINROSE APPROACH,BELLE ISLE,LEEDS,LS10 3QF,MI,1BF,17-FEB-2014,54
1090 YORK ROAD,SWARCLIFFE,LEEDS,LS14 5JQ,CW,3BH,02-JUN-2014,53
109A MEAGILL RISE,WESTON ESTATE,OTLEY,LS21 2EH,OY,1BF,29-SEP-2014,43
11 ABERFIELD DRIVE,BELLE ISLE,LEEDS,LS10 3PX,MI,1BF,11-AUG-2014,73
11 ADAMS CROFT,WESTGATE,OTLEY,LS21 3NQ,OY,C2S1BF,30-JUN-2014,17
11 ALBION TERRACE,CLIFFORD,WETHERBY,LS23 6HZ,WY,3BH,21-JUL-2014,54
11 BAWN DRIVE,FARNLEY,LEEDS,LS12 5QH,FW,2BH,18-AUG-2014,44
11 BECKHILL CHASE,MEANWOOD,LEEDS,LS7 2RQ,CA,1BF,22-DEC-2014,63
11 BECKHILL GARDENS,MEANWOOD,LEEDS,LS7 2SE,CA,3BH,03-NOV-2014,65
11 BELLE ISLE CLOSE,BELLE ISLE,LEEDS,LS10 3HN,MI,2BH,18-AUG-2014,166
11 BIRCH COURT,MORLEY,LEEDS,LS27 0EE,MS,1BF,19-MAY-2014,115
11 BRANDER APPROACH,GIPTON,LEEDS,LS9 6NT,GH,2BH,08-SEP-2014,31
